ID,Severity,Start_Time,End_Time,City,State,Temperature(F),Weather_Condition,Visibility(mi),Description
A-001,2,2023-07-01 08:30:00,2023-07-01 09:15:00,Los Angeles,CA,78.0,Clear,10.0,"Accident on I-405 N"
A-002,3,2023-07-01 17:45:00,2023-07-01 18:30:00,Miami,FL,88.5,Rain,4.0,"2-vehicle crash on US-1"
A-003,1,2023-07-02 13:10:00,2023-07-02 13:40:00,Austin,TX,95.0,Clear,10.0,"Minor accident at 5th St"
A-004,2,2023-07-03 21:00:00,2023-07-03 21:45:00,Seattle,WA,66.2,Fog,2.0,"Rear-end collision on I-5"
A-005,4,2023-07-04 14:00:00,2023-07-04 16:00:00,Chicago,IL,79.0,Rain,5.0,"Multi-car crash on I-90 E"
A-006,2,2023-07-05 09:15:00,2023-07-05 10:00:00,New York,NY,74.3,Cloudy,9.0,"3-car pileup on Brooklyn Bridge"
A-007,1,2023-07-06 11:45:00,2023-07-06 12:05:00,Denver,CO,70.1,Clear,10.0,"Fender bender on Speer Blvd"
A-008,3,2023-07-07 06:20:00,2023-07-07 07:00:00,Atlanta,GA,81.0,Rain,6.0,"Truck crash on I-75 S"
A-009,2,2023-07-08 15:00:00,2023-07-08 15:40:00,Phoenix,AZ,104.0,Clear,10.0,"Crash involving motorcycle"
A-010,4,2023-07-09 19:30:00,2023-07-09 20:45:00,Boston,MA,68.5,Snow,1.5,"Icy road caused 4-car collision"
